FISCAL_YR,FISCAL_MTH,DEPT_NAME,DIV_NAME,MERCHANT,CAT_DESC,TRANS_DT,AMT,DayOfWeek,isWeekday
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,DOUBLETREE_HOTELS_WASHING,LODGING,2016-06-03 00:00:00,-5.5,Friday,1
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,HYATT_REGENCY_NW_ORLE_F/B,EATING_PLACES_RESTAURANTS,2016-06-26 00:00:00,18.31,Sunday,0
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,HYATT_REGENCY_NW_ORLE_F/B,EATING_PLACES_RESTAURANTS,2016-06-26 00:00:00,21.61,Sunday,0
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,HYATT_REGENCY_NW_ORLE_F/B,EATING_PLACES_RESTAURANTS,2016-06-26 00:00:00,22.39,Sunday,0
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,HYATT_REGENCY_NW_ORLE_F/B,EATING_PLACES_RESTAURANTS,2016-06-26 00:00:00,5.44,Sunday,0
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,SHERATON_DOLPHIN_DINING,EATING_PLACES_RESTAURANTS,2016-06-26 00:00:00,17.17,Sunday,0
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,TAPAS_ON_MAIN,EATING_PLACES_RESTAURANTS,2016-06-26 00:00:00,32.67,Sunday,0
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,TAPAS_ON_MAIN,EATING_PLACES_RESTAURANTS,2016-06-26 00:00:00,32.89,Sunday,0
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,USAIRWAYS_0372363267867,AIRLINE,2016-06-26 00:00:00,25.0,Sunday,0
2017,1,DEPT_OF_EDUCATION,EDUCATION_BLOCK_GRANTS,MTC_INC,EATING_PLACES_RESTAURANTS,2016-06-27 00:00:00,12.33,Monday,1
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,AMAZON.COM,BOOK_STORES,2016-06-27 00:00:00,179.0,Monday,1
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,AMAZON.COM,BOOK_STORES,2016-06-27 00:00:00,179.0,Monday,1
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,BOS_TAXI_1632,TRAVEL,2016-06-27 00:00:00,30.3,Monday,1
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,BRENNAN'S_OFFICE_INTER,OFFICE_AND_COMMERCIAL_FURNITURE,2016-06-27 00:00:00,240.0,Monday,1
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,C6_STARBUCKS_B21631510,FAST_FOOD_RESTAURANTS,2016-06-27 00:00:00,10.21,Monday,1
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,CAFE_BEIGNET_I,EATING_PLACES_RESTAURANTS,2016-06-27 00:00:00,7.99,Monday,1
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,GLOBE,EATING_PLACES_RESTAURANTS,2016-06-27 00:00:00,12.0,Monday,1
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,HISTORIC_HOTEL_BETHLEH,LODGING,2016-06-27 00:00:00,35.0,Monday,1
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,HISTORIC_HOTEL_BETHLEH,LODGING,2016-06-27 00:00:00,696.6,Monday,1
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,HISTORIC_HOTEL_BETHLEH,LODGING,2016-06-27 00:00:00,698.7,Monday,1
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,MAMA_MELROSE'S_RIST,EATING_PLACES_RESTAURANTS,2016-06-27 00:00:00,23.65,Monday,1
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,PMI_BWI_AIRPORT_PARKNG,AUTOMOBILE_PARKING_LOTS_AND_GARAGES,2016-06-27 00:00:00,36.0,Monday,1
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,SHERATON_DOLPHIN_DINING,EATING_PLACES_RESTAURANTS,2016-06-27 00:00:00,15.57,Monday,1
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,STAPLS7120127157000001,STATIONERY-OFFICE_SUPPLIES-PRINTING_WRITING_PAP,2016-06-27 00:00:00,369.92,Monday,1
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,SUBWAY_00334268,FAST_FOOD_RESTAURANTS,2016-06-27 00:00:00,12.02,Monday,1
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,USAIRWAYS_0372363399881,AIRLINE,2016-06-27 00:00:00,25.0,Monday,1
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,VZWRLSS*MY_VZ_VB_P,TELECOM_INCL_PREPAID-RECURRING_PHONE_SVCS,2016-06-27 00:00:00,1035.32,Monday,1
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,WHOLESALE_JANITOR,INDUSTRIAL_SUPPLIES_NOT_ELSEWHERE_CLASSIFIED,2016-06-27 00:00:00,1999.0,Monday,1
2017,1,DEPT_OF_EDUCATION,EDUCATION_BLOCK_GRANTS,MARRIOTT_337J4_SAN_RC_F/B,LODGING,2016-06-27 00:00:00,10.28,Monday,1
2017,1,DEPT_OF_EDUCATION,EDUCATION_BLOCK_GRANTS,MARRIOTT_337J4_SAN_RC_F/B,LODGING,2016-06-27 00:00:00,20.85,Monday,1
2017,1,DEPT_OF_EDUCATION,EDUCATION_BLOCK_GRANTS,SHERATON_DOLPHIN_DINING,EATING_PLACES_RESTAURANTS,2016-06-27 00:00:00,12.88,Monday,1
2017,1,DEPT_OF_EDUCATION,EDUCATION_BLOCK_GRANTS,TOWER_AMERICAS_REST,EATING_PLACES_RESTAURANTS,2016-06-27 00:00:00,30.41,Monday,1
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,AMERICAN_AI_0010269330166,AIRLINE,2016-06-28 00:00:00,25.0,Tuesday,1
2017,1,DEPT_OF_EDUCATION,DEPARTMENT_OF_EDUCATION,CALIFORNIA_PIZZA_049,EATING_PLACES_RESTAURANTS,2016-06-28 00:00:00,21.88,Tuesday,1
